"Humcfs_id","chromosome_number","name","chrlocation","cytoband","type","frequency","gene_ensembl_id","gene_name","havana_transcript_id","gene_location","gene_orientation","exon_id","exon_number","gene_description","disease_description","miRNA_location","miRNA_strand","miRNA_id","miRNA_name","miRNA_derived","pmid"
"1","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000188529","SRSF10","OTTHUMT00000038963","3967618-23980294","-","ENSE00001948268, ENSE00003516331, ENSE00003497985, ENSE00001387453, ENSE00001754425, ENSE00001815363","6","serine/arginine-rich splicing factor 10","Polycystic Ovary Syndrome,ovarian neoplasm,Colorectal Cancer,Schizophrenia,Colorectal Carcinoma,Colon Carcinoma,Malignant tumor of colon,Hyperglycemia,Endometrial Neoplasms","1312539-1312561","-","MIMAT0027355","hsa-miR-6727-5p","MI0022572","1322577"
"2","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000157911","PEX10","OTTHUMT00000367454","2404819-2412571","-","ENSE00001207524, ENSE00001035830, ENSE00003687915, ENSE00001035832, ENSE00003514210, ENSE00001207527","6","peroxisomal biogenesis factor 10","Azoospermia, Nonobstructive,PEROXISOME BIOGENESIS DISORDER 6A (ZELLWEGER),Zellweger Syndrome,Infantile Refsum Disease (disorder),Azoospermia,PEROXISOME BIOGENESIS DISORDER 6B,Peroxisome biogenesis disorders,Ataxia,Adrenoleukodystrophy, Neonatal,PEROXISOME BIOGENESIS DISORDER 2B","1167878-1167899","+","MIMAT0001620","hsa-miR-200a-5p","MI0000737","1322577"
"3","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000169885","CALML6","OTTHUMT00000002778","1915108-1917294","+","ENSE00001922765, ENSE00001127963, ENSE00003651579, ENSE00003518147, ENSE00001207998","5","calmodulin-like 6","Immune System Diseases","5564071-5564143","+","MI0016753","hsa-mir-4417","NA","1322577"
"4","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000187017","ESPN","OTTHUMT00000001930","6448467-6460052","+","ENSE00001935497, ENSE00003576066, ENSE00003782259, ENSE00003610124, ENSE00003630784, ENSE00003685596, ENSE00001858371","7","espin","Melanocytic nevus,Nonsyndromic Deafness,melanoma,Retinal Degeneration,DEAFNESS, AUTOSOMAL RECESSIVE 36, WITH OR WITHOUT VESTIBULAR INVOLVEMENT,Deafness,DEAFNESS, AUTOSOMAL RECESSIVE (disorder),hearing impairment,Vestibular Diseases,Deafness, Autosomal Recessive 36, Without Vestibular Involvement,Usher Syndrome, Type II,Usher Syndrome,Hearing Loss, Mixed Conductive-Sensorineural","23057880-23057896","-","MIMAT0018931","hsa-miR-4419a","MI0016755","1322577"
"5","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000158062","UBXN11","OTTHUMT00000096894","26294205-26306636","-","ENSE00003787866, ENSE00003691419, ENSE00003570400, ENSE00003539182, ENSE00001462798, ENSE00003635385, ENSE00003681411, ENSE00001379436, ENSE00001654394","9","UBX domain protein 11","Colorectal Neoplasms,melanoma,Malignant neoplasm of ovary,Colon Carcinoma,Malignant tumor of colon,Ovarian Carcinoma","1339650-1339670","-","MIMAT0027517","hsa-miR-6808-3p","MI0022653","1322577"
"6","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000142634","EFHD2","OTTHUMT00000006434","15410265-15429081","+","ENSE00001675494, ENSE00001765643, ENSE00001012099, ENSE00001469003, ENSE00001713183","5","EF-hand domain family, member D2","Anaphylaxis (non medication),Dermatitis, Atopic,Schizophrenia,Tauopathies,Eczema","5862672-5862741","-","MI0017322","hsa-mir-4689","NA","1322577"
"7","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000116670","MAD2L2","OTTHUMT00000006347","11674525-11691477","-","ENSE00001471305, ENSE00000743991, ENSE00000743993, ENSE00000743994, ENSE00001471416, ENSE00003511603, ENSE00003664098, ENSE00003611733, ENSE00001471306","9","MAD2 mitotic arrest deficient-like 2 (yeast)","Colorectal Neoplasms,Malignant tumor of colon,Breast Carcinoma,Down Syndrome,Colon Carcinoma,Shigella Infections,Renal Cell Carcinoma,Congenital chromosomal disease,Breast Cancer, Familial,Colorectal Carcinoma,Adenocarcinoma, Clear Cell,Malignant neoplasm of breast,Carcinogenesis,Epithelial ovarian cancer,Colorectal Cancer","26554574-26554593","+","MIMAT0009451","hsa-miR-1976","MI0009986","1322577"
"8","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000131591","C1orf159","OTTHUMT00000327128","1087575-1092813","-","ENSE00001794977, ENSE00003592709, ENSE00003652001, ENSE00002711450, ENSE00001649329","5","NA","NA","1167863-1167952","+","MI0000737","hsa-mir-200a","NA","1322577"
"9","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000162458","FBLIM1","OTTHUMT00000008510","15756659-15786594","+","ENSE00001065404, ENSE00001276282, ENSE00001185752, ENSE00002143332, ENSE00001759398, ENSE00001747550, ENSE00001603049, ENSE00001712332, ENSE00003605244, ENSE00001468339","10","filamin binding LIM protein 1","Osteosarcoma of bone,Lymphoma, Non-Hodgkin,Secondary malignant neoplasm of liver,Periodontal Diseases,Exanthema,Chronic Lymphocytic Leukemia,Neoplasm Metastasis,Lip and Oral Cavity Carcinoma,Malignant neoplasm of breast,leiomyosarcoma,Papillary neoplasm,Spots on skin,Anaplastic thyroid carcinoma,Oral Cavity Carcinoma,Follicular neoplasm,Nerve Sheath Tumors,Mucocutaneous Lymph Node Syndrome,Squamous cell carcinoma of tongue,Coronary arteritis,Breast Carcinoma,Urban Schosser Spohn syndrome,Poikiloderma of Kindler,alpha^0^ Thalassemia,Malignant neoplasm of mouth,Multiple Myeloma,Neurofibromatosis 1,Herpes Simplex Infections,Blastic plasmacytoid dendritic cell neoplasm,Gingival Diseases,Glioma,Multiple adenomatous polyps,Osteosarcoma,Thyroid Neoplasm,Epilepsy,neurofibroma,Adenosquamous carcinoma","18897071-18897148","-","MI0006352","hsa-mir-1290","NA","1322577"
"10","chromosome1","FRA1A","1-28000000","1p36","Aphidicolin","Common","ENSG00000142606","MMEL1","OTTHUMT00000002396","2590639-2592678","-","ENSE00001957118, ENSE00003649471, ENSE00001840045","3","membrane metallo-endopeptidase-like 1","Mild cognitive disorder,Malignant neoplasm of prostate,Memory Loss,Rheumatoid Arthritis,Hanot's cirrhosis,Prostate carcinoma,Unverricht-Lundborg Syndrome,Juvenile arthritis,Celiac Disease,Biliary cirrhosis,Amnesia,Myoclonus,Diabetes Mellitus,Multiple Sclerosis,Primary biliary cirrhosis,Alzheimer's Disease,Diabetes","20633679-20633788","+","MI0020361","hsa-mir-6084","NA","1322577"
